label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
0ა,392,753,91,158,IMG_20230212_162744.jpg,1200,1600
26ც,492,756,85,155,IMG_20230212_162744.jpg,1200,1600
30ხ,580,750,100,161,IMG_20230212_162744.jpg,1200,1600
5ვ,677,756,88,155,IMG_20230212_162744.jpg,1200,1600
8ი,762,756,94,155,IMG_20230212_162744.jpg,1200,1600
17ს,847,756,85,155,IMG_20230212_162744.jpg,1200,1600
7თ,365,723,109,117,IMG_20230212_162759.jpg,1200,1600
20ფ,535,725,90,109,IMG_20230212_162759.jpg,1200,1600
10ლ,625,722,124,115,IMG_20230212_162759.jpg,1200,1600
2გ,382,866,88,130,IMG_20230212_162804.jpg,1200,1600
16რ,470,859,105,138,IMG_20230212_162804.jpg,1200,1600
17ს,1088,853,472,918,IMG_20230212_162108.jpg,4608,3456
0ა,1520,1331,275,407,IMG_20230212_162108.jpg,4608,3456
3დ,2006,1390,374,498,IMG_20230212_162108.jpg,4608,3456
13ო,2360,1364,367,256,IMG_20230212_162108.jpg,4608,3456
2გ,602,2112,426,708,IMG_20230212_162108.jpg,4608,3456
25ჩ,1028,2105,407,721,IMG_20230212_162108.jpg,4608,3456
8ი,1422,2072,433,748,IMG_20230212_162108.jpg,4608,3456
10ლ,1842,2092,439,748,IMG_20230212_162108.jpg,4608,3456
0ა,2707,2092,466,761,IMG_20230212_162108.jpg,4608,3456
15ჟ,3160,2059,531,767,IMG_20230212_162108.jpg,4608,3456
11მ,1232,1121,479,413,IMG_20230212_162135.jpg,4608,3456
0ა,1658,1200,236,367,IMG_20230212_162135.jpg,4608,3456
3დ,1868,1239,380,361,IMG_20230212_162135.jpg,4608,3456
4ე,3107,1226,328,374,IMG_20230212_162135.jpg,4608,3456
11მ,524,1633,616,872,IMG_20230212_162135.jpg,4608,3456
0ა,1101,1633,538,892,IMG_20230212_162135.jpg,4608,3456
20ფ,1658,1659,774,872,IMG_20230212_162135.jpg,4608,3456
8ი,2419,1653,557,879,IMG_20230212_162135.jpg,4608,3456
12ნ,2983,1633,551,885,IMG_20230212_162135.jpg,4608,3456
5ვ,1737,2722,197,315,IMG_20230212_162135.jpg,4608,3456
0ა,1914,2702,171,269,IMG_20230212_162135.jpg,4608,3456
12ნ,2084,2676,177,295,IMG_20230212_162135.jpg,4608,3456
8ი,2242,2735,171,269,IMG_20230212_162135.jpg,4608,3456
10ლ,2399,2722,321,321,IMG_20230212_162135.jpg,4608,3456
24შ,571,503,109,153,IMG_20230212_162211.jpg,1600,1200
3დ,783,578,121,146,IMG_20230212_162211.jpg,1600,1200
8ი,894,574,75,100,IMG_20230212_162211.jpg,1600,1200
17ს,963,501,93,184,IMG_20230212_162211.jpg,1600,1200
9კ,567,567,82,166,IMG_20230212_162216.jpg,1600,1200
13ო,639,569,112,102,IMG_20230212_162216.jpg,1600,1200
11მ,742,501,96,164,IMG_20230212_162216.jpg,1600,1200
14პ,815,510,82,141,IMG_20230212_162216.jpg,1600,1200
18ტ,963,546,105,178,IMG_20230212_162216.jpg,1600,1200
12ნ,139,565,143,262,IMG_20230212_162304.jpg,1600,1200
0ა,280,567,116,255,IMG_20230212_162304.jpg,1600,1200
1ბ,396,562,123,255,IMG_20230212_162304.jpg,1600,1200
4ე,521,572,123,246,IMG_20230212_162304.jpg,1600,1200
22ღ,639,567,187,269,IMG_20230212_162304.jpg,1600,1200
10ლ,819,576,239,257,IMG_20230212_162304.jpg,1600,1200
5ვ,1154,583,123,253,IMG_20230212_162304.jpg,1600,1200
8ი,1270,576,139,255,IMG_20230212_162304.jpg,1600,1200
17ს,110,1069,557,1115,IMG_20230212_163000.jpg,4608,3456
0ა,687,1095,498,1062,IMG_20230212_163000.jpg,4608,3456
10ლ,1173,1069,1082,1167,IMG_20230212_163000.jpg,4608,3456
8ი,2222,1082,551,1108,IMG_20230212_163000.jpg,4608,3456
11მ,3271,1082,492,1075,IMG_20230212_163000.jpg,4608,3456
