,label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
0,3დ,794,898,195,182,IMG_20220404_150259.jpg,4608,3456
1,13ო,974,920,137,127,IMG_20220404_150259.jpg,4608,3456
2,10ლ,1110,926,181,159,IMG_20220404_150259.jpg,4608,3456
3,0ა,1284,931,89,130,IMG_20220404_150259.jpg,4608,3456
4,16რ,1370,908,125,157,IMG_20220404_150259.jpg,4608,3456
5,24შ,1492,917,114,150,IMG_20220404_150259.jpg,4608,3456
6,8ი,1600,958,108,119,IMG_20220404_150259.jpg,4608,3456
7,3დ,1730,973,152,137,IMG_20220404_150259.jpg,4608,3456
8,0ა,1880,974,92,114,IMG_20220404_150259.jpg,4608,3456
9,4ე,2001,987,89,139,IMG_20220404_150259.jpg,4608,3456
10,5ვ,2083,984,89,154,IMG_20220404_150259.jpg,4608,3456
11,16რ,2166,956,125,154,IMG_20220404_150259.jpg,4608,3456
12,13ო,2285,998,118,112,IMG_20220404_150259.jpg,4608,3456
13,24შ,2401,969,105,141,IMG_20220404_150259.jpg,4608,3456
14,8ი,2495,1011,98,112,IMG_20220404_150259.jpg,4608,3456
15,2გ,2621,1021,96,136,IMG_20220404_150259.jpg,4608,3456
16,6ზ,2712,982,119,150,IMG_20220404_150259.jpg,4608,3456
17,0ა,2820,1029,80,108,IMG_20220404_150259.jpg,4608,3456
18,5ვ,2893,1031,81,141,IMG_20220404_150259.jpg,4608,3456
19,12ნ,2969,994,94,148,IMG_20220404_150259.jpg,4608,3456
20,8ი,3054,1043,89,114,IMG_20220404_150259.jpg,4608,3456
21,10ლ,3139,1047,152,130,IMG_20220404_150259.jpg,4608,3456
22,8ი,3289,1049,90,127,IMG_20220404_150259.jpg,4608,3456
23,17ს,3379,1021,85,143,IMG_20220404_150259.jpg,4608,3456
24,2გ,815,1105,116,155,IMG_20220404_150259.jpg,4608,3456
25,0ა,924,1106,92,123,IMG_20220404_150259.jpg,4608,3456
26,11მ,1014,1076,98,155,IMG_20220404_150259.jpg,4608,3456
27,13ო,1106,1117,136,119,IMG_20220404_150259.jpg,4608,3456
28,2გ,1237,1123,99,159,IMG_20220404_150259.jpg,4608,3456
29,6ზ,1334,1088,134,163,IMG_20220404_150259.jpg,4608,3456
30,0ა,1459,1141,90,127,IMG_20220404_150259.jpg,4608,3456
31,5ვ,1540,1139,94,154,IMG_20220404_150259.jpg,4608,3456
32,12ნ,1629,1105,101,157,IMG_20220404_150259.jpg,4608,3456
33,8ი,1723,1153,105,119,IMG_20220404_150259.jpg,4608,3456
34,17ს,1822,1119,96,154,IMG_20220404_150259.jpg,4608,3456
35,0ა,1913,1159,81,110,IMG_20220404_150259.jpg,4608,3456
36,17ს,1994,1126,90,163,IMG_20220404_150259.jpg,4608,3456
37,8ი,2113,1166,98,114,IMG_20220404_150259.jpg,4608,3456
38,17ს,2216,1134,87,155,IMG_20220404_150259.jpg,4608,3456
39,0ა,2294,1157,85,141,IMG_20220404_150259.jpg,4608,3456
40,16რ,2368,1146,125,139,IMG_20220404_150259.jpg,4608,3456
41,2გ,2482,1170,92,157,IMG_20220404_150259.jpg,4608,3456
42,4ე,2573,1182,89,154,IMG_20220404_150259.jpg,4608,3456
43,1ბ,2649,1153,92,146,IMG_20220404_150259.jpg,4608,3456
44,10ლ,2739,1197,159,134,IMG_20220404_150259.jpg,4608,3456
45,13ო,2887,1208,118,112,IMG_20220404_150259.jpg,4608,3456
46,12ნ,2999,1175,96,139,IMG_20220404_150259.jpg,4608,3456
47,8ი,3120,1215,85,110,IMG_20220404_150259.jpg,4608,3456
