label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
24შ,657,1145,443,664,IMG_20230212_191424.jpg,4608,3456
4ე,3033,1152,332,618,IMG_20230212_191424.jpg,4608,3456
4ე,1054,1139,345,690,IMG_20230212_191424.jpg,4608,3456
8ი,1367,1152,404,651,IMG_20230212_191424.jpg,4608,3456
8ი,3671,1126,384,644,IMG_20230212_191424.jpg,4608,3456
8ი,3508,1822,436,586,IMG_20230212_191424.jpg,4608,3456
19უ,2480,1842,410,605,IMG_20230212_191424.jpg,4608,3456
16რ,2083,1139,631,638,IMG_20230212_191424.jpg,4608,3456
6ზ,801,1874,527,605,IMG_20230212_191424.jpg,4608,3456
20ფ,1608,1881,605,573,IMG_20230212_191424.jpg,4608,3456
10ლ,2844,1868,722,560,IMG_20230212_191424.jpg,4608,3456
30ხ,2161,1816,351,638,IMG_20230212_191424.jpg,4608,3456
27ძ,2668,1126,397,631,IMG_20230212_191424.jpg,4608,3456
0ა,1282,1861,345,618,IMG_20230212_191424.jpg,4608,3456
12ნ,3326,1132,371,644,IMG_20230212_191424.jpg,4608,3456
2გ,1725,1145,397,625,IMG_20230212_191424.jpg,4608,3456
0ა,1175,1031,192,242,IMG_20230213_194526 (1).jpg,3456,4608
0ა,2784,2655,146,220,IMG_20230213_194526 (1).jpg,3456,4608
7თ,692,2264,285,279,IMG_20230213_194526 (1).jpg,3456,4608
8ი,1513,2286,208,263,IMG_20230213_194526 (1).jpg,3456,4608
8ი,2824,1970,205,279,IMG_20230213_194526 (1).jpg,3456,4608
8ი,1519,1917,183,301,IMG_20230213_194526 (1).jpg,3456,4608
8ი,955,1929,205,282,IMG_20230213_194526 (1).jpg,3456,4608
8ი,1686,2617,149,226,IMG_20230213_194526 (1).jpg,3456,4608
4ე,1947,1948,186,288,IMG_20230213_194526 (1).jpg,3456,4608
4ე,1135,2280,214,267,IMG_20230213_194526 (1).jpg,3456,4608
4ე,939,2617,130,205,IMG_20230213_194526 (1).jpg,3456,4608
4ე,617,2614,139,201,IMG_20230213_194526 (1).jpg,3456,4608
13ო,2114,1068,288,226,IMG_20230213_194526 (1).jpg,3456,4608
16რ,1513,2617,186,236,IMG_20230213_194526 (1).jpg,3456,4608
16რ,1686,1970,273,257,IMG_20230213_194526 (1).jpg,3456,4608
10ლ,1361,1068,341,260,IMG_20230213_194526 (1).jpg,3456,4608
10ლ,2498,1979,341,263,IMG_20230213_194526 (1).jpg,3456,4608
10ლ,1333,1923,189,291,IMG_20230213_194526 (1).jpg,3456,4608
20ფ,698,1939,276,263,IMG_20230213_194526 (1).jpg,3456,4608
20ფ,744,2624,205,208,IMG_20230213_194526 (1).jpg,3456,4608
3დ,2601,2655,201,201,IMG_20230213_194526 (1).jpg,3456,4608
18ტ,1888,1046,236,282,IMG_20230213_194526 (1).jpg,3456,4608
18ტ,1203,2602,186,226,IMG_20230213_194526 (1).jpg,3456,4608
12ნ,2908,2661,164,211,IMG_20230213_194526 (1).jpg,3456,4608
19უ,1373,2633,143,214,IMG_20230213_194526 (1).jpg,3456,4608
19უ,2300,1966,208,273,IMG_20230213_194526 (1).jpg,3456,4608
19უ,1689,1046,208,279,IMG_20230213_194526 (1).jpg,3456,4608
5ვ,989,1043,208,273,IMG_20230213_194526 (1).jpg,3456,4608
5ვ,958,2280,205,267,IMG_20230213_194526 (1).jpg,3456,4608
21ქ,1063,2630,155,214,IMG_20230213_194526 (1).jpg,3456,4608
21ქ,1135,1911,214,301,IMG_20230213_194526 (1).jpg,3456,4608
1ბ,2120,1939,205,291,IMG_20230213_194526 (1).jpg,3456,4608
24შ,1321,2270,205,307,IMG_20230213_194526 (1).jpg,3456,4608
0ა,1031,1116,113,205,IMG_20230213_201624 (1).jpg,3456,4608
0ა,1620,1094,107,220,IMG_20230213_201624 (1).jpg,3456,4608
0ა,1482,1481,107,207,IMG_20230213_201624 (1).jpg,3456,4608
0ა,1246,2547,71,238,IMG_20230213_201624 (1).jpg,3456,4608
0ა,1776,2531,73,234,IMG_20230213_201624 (1).jpg,3456,4608
4ე,2110,1103,122,325,IMG_20230213_201624 (1).jpg,3456,4608
4ე,1322,1091,111,316,IMG_20230213_201624 (1).jpg,3456,4608
8ი,1364,2542,80,229,IMG_20230213_201624 (1).jpg,3456,4608
8ი,1489,2527,73,269,IMG_20230213_201624 (1).jpg,3456,4608
8ი,2050,2520,93,249,IMG_20230213_201624 (1).jpg,3456,4608
8ი,1173,1461,109,234,IMG_20230213_201624 (1).jpg,3456,4608
21ქ,1707,1383,131,425,IMG_20230213_201624 (1).jpg,3456,4608
21ქ,1422,989,113,423,IMG_20230213_201624 (1).jpg,3456,4608
17ს,1551,2527,82,251,IMG_20230213_201624 (1).jpg,3456,4608
17ს,1431,2544,69,251,IMG_20230213_201624 (1).jpg,3456,4608
17ს,1520,1011,109,327,IMG_20230213_201624 (1).jpg,3456,4608
3დ,1010,1485,180,289,IMG_20230213_201624 (1).jpg,3456,4608
3დ,1814,1116,158,294,IMG_20230213_201624 (1).jpg,3456,4608
16რ,1961,1020,158,298,IMG_20230213_201624 (1).jpg,3456,4608
16რ,1671,2549,118,207,IMG_20230213_201624 (1).jpg,3456,4608
16რ,1086,2544,100,223,IMG_20230213_201624 (1).jpg,3456,4608
13ო,1901,2553,105,214,IMG_20230213_201624 (1).jpg,3456,4608
17ს,1573,1372,111,336,IMG_20230213_201624 (1).jpg,3456,4608
10ლ,1131,1136,209,280,IMG_20230213_201624 (1).jpg,3456,4608
8ი,1836,2558,76,205,IMG_20230213_201624 (1).jpg,3456,4608
12ნ,1716,1018,109,305,IMG_20230213_201624 (1).jpg,3456,4608
12ნ,1306,2556,73,198,IMG_20230213_201624 (1).jpg,3456,4608
12ნ,1994,2524,69,245,IMG_20230213_201624 (1).jpg,3456,4608
28წ,1177,2556,80,200,IMG_20230213_201624 (1).jpg,3456,4608
19უ,1273,1479,116,312,IMG_20230213_201624 (1).jpg,3456,4608
9კ,1013,2551,76,205,IMG_20230213_201624 (1).jpg,3456,4608
11მ,1380,1394,107,289,IMG_20230213_201624 (1).jpg,3456,4608
0ა,521,1846,312,542,IMG_20230213_212238.jpg,3456,4608
0ა,1220,1864,317,508,IMG_20230213_212238.jpg,3456,4608
0ა,2135,1785,304,616,IMG_20230213_212238.jpg,3456,4608
0ა,2378,2371,343,495,IMG_20230213_212238.jpg,3456,4608
0ა,556,2397,347,529,IMG_20230213_212238.jpg,3456,4608
0ა,1094,3018,100,143,IMG_20230213_212238.jpg,3456,4608
0ა,387,3044,104,139,IMG_20230213_212238.jpg,3456,4608
0ა,478,3026,87,152,IMG_20230213_212238.jpg,3456,4608
0ა,651,3039,95,130,IMG_20230213_212238.jpg,3456,4608
0ა,1315,3009,91,148,IMG_20230213_212238.jpg,3456,4608
0ა,2352,2987,104,156,IMG_20230213_212238.jpg,3456,4608
8ი,1745,2389,343,512,IMG_20230213_212238.jpg,3456,4608
8ი,1489,1881,347,499,IMG_20230213_212238.jpg,3456,4608
8ი,1541,3018,104,148,IMG_20230213_212238.jpg,3456,4608
8ი,3051,3009,108,148,IMG_20230213_212238.jpg,3456,4608
3დ,2704,2402,490,482,IMG_20230213_212238.jpg,3456,4608
3დ,2417,1851,447,495,IMG_20230213_212238.jpg,3456,4608
3დ,808,1916,460,434,IMG_20230213_212238.jpg,3456,4608
3დ,235,3044,169,156,IMG_20230213_212238.jpg,3456,4608
16რ,868,2419,473,490,IMG_20230213_212238.jpg,3456,4608
16რ,1172,2974,152,169,IMG_20230213_212238.jpg,3456,4608
8ი,964,1551,100,143,IMG_20230213_212238.jpg,3456,4608
8ი,790,1556,104,139,IMG_20230213_212238.jpg,3456,4608
8ი,651,1564,91,139,IMG_20230213_212238.jpg,3456,4608
7თ,504,1543,152,156,IMG_20230213_212238.jpg,3456,4608
7თ,1389,3022,161,139,IMG_20230213_212238.jpg,3456,4608
4ე,868,3022,100,191,IMG_20230213_212238.jpg,3456,4608
4ე,2851,3000,117,174,IMG_20230213_212238.jpg,3456,4608
4ე,2847,1829,343,542,IMG_20230213_212238.jpg,3456,4608
2გ,244,1898,286,512,IMG_20230213_212238.jpg,3456,4608
1ბ,1003,2979,104,187,IMG_20230213_212238.jpg,3456,4608
1ბ,721,1569,91,139,IMG_20230213_212238.jpg,3456,4608
11მ,235,2415,369,512,IMG_20230213_212238.jpg,3456,4608
11მ,547,2983,121,191,IMG_20230213_212238.jpg,3456,4608
17ს,2244,2961,117,178,IMG_20230213_212238.jpg,3456,4608
17ს,890,1547,87,148,IMG_20230213_212238.jpg,3456,4608
